experiment	item	condition	setup	context	contextFile	text	lab	woi	design	question	qType
yesnoP2	7	6	You are at the hardware store. A person walks up to you and asks:	You're an employee here?	employee.wav	"Yes, I'm not an employee here"	yes I'm not an employee here	yes_1 I'm not_2 an employee here	LatinSquare	"Please indicate how natural this response seems on a scale of 1 to 8 \n\n(1=completely unnatural, and 8=completely natural)."	jm
yesnoP2	7	7	You are at the hardware store. A person walks up to you and asks:	You're an employee here?	employee.wav	"No, I'm an employee here"	no I'm an employee here	no_1 I'm_2 an employee here	LatinSquare	"Please indicate how natural this response seems on a scale of 1 to 8 \n\n(1=completely unnatural, and 8=completely natural)."	jm
yesnoP2	7	8	You are at the hardware store. A person walks up to you and asks:	You're an employee here?	employee.wav	"No, I'm not an employee here"	no I'm not an employee here	no_1 I'm not_2 an employee here	LatinSquare	"Please indicate how natural this response seems on a scale of 1 to 8 \n\n(1=completely unnatural, and 8=completely natural)."	jm
yesnoP2	8	1	You are at a party. The host asks you:	You don't drink alcohol?	notdrink.wav	"Yes, I drink alcohol"	yes I drink alcohol	yes_1 I drink_2 alcohol	LatinSquare	"Please indicate how natural this response seems on a scale of 1 to 8 \n\n(1=completely unnatural, and 8=completely natural)."	jm
yesnoP2	8	2	You are at a party. The host asks you:	You don't drink alcohol?	notdrink.wav	"Yes, I don't drink alcohol"	yes I don't drink alcohol	yes_1 I don't_2 drink alcohol	LatinSquare	"Please indicate how natural this response seems on a scale of 1 to 8 \n\n(1=completely unnatural, and 8=completely natural)."	jm
yesnoP2	8	3	You are at a party. The host asks you:	You don't drink alcohol?	notdrink.wav	"No, I drink alcohol"	no I drink alcohol	no_1 I drink_2 alcohol	LatinSquare	"Please indicate how natural this response seems on a scale of 1 to 8 \n\n(1=completely unnatural, and 8=completely natural)."	jm
yesnoP2	8	4	You are at a party. The host asks you:	You don't drink alcohol?	notdrink.wav	"No, I don't drink alcohol"	no I don't drink alcohol	no_1 I don't_2 drink alcohol	LatinSquare	"Please indicate how natural this response seems on a scale of 1 to 8 \n\n(1=completely unnatural, and 8=completely natural)."	jm
yesnoP2	8	5	You are at a party. The host asks you:	You drink alcohol?	drink.wav	"Yes, I drink alcohol"	yes I drink alcohol	yes_1 I drink_2 alcohol	LatinSquare	"Please indicate how natural this response seems on a scale of 1 to 8 \n\n(1=completely unnatural, and 8=completely natural)."	jm
yesnoP2	8	6	You are at a party. The host asks you:	You drink alcohol?	drink.wav	"Yes, I don't drink alcohol"	yes I don't drink alcohol	yes_1 I don't_2 drink alcohol	LatinSquare	"Please indicate how natural this response seems on a scale of 1 to 8 \n\n(1=completely unnatural, and 8=completely natural)."	jm
yesnoP2	8	7	You are at a party. The host asks you:	You drink alcohol?	drink.wav	"No, I drink alcohol"	no I drink alcohol	no_1 I drink_2 alcohol	LatinSquare	"Please indicate how natural this response seems on a scale of 1 to 8 \n\n(1=completely unnatural, and 8=completely natural)."	jm
yesnoP2	8	8	You are at a party. The host asks you:	You drink alcohol?	drink.wav	"No, I don't drink alcohol"	no I don't drink alcohol	no_1 I don't_2 drink alcohol	LatinSquare	"Please indicate how natural this response seems on a scale of 1 to 8 \n\n(1=completely unnatural, and 8=completely natural)."	jm
